scorer,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290
bodyparts,cable_tip,cable_tip,cable_tip,box_left_back_corner,box_left_back_corner,box_left_back_corner,box_right_back_corner,box_right_back_corner,box_right_back_corner,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,neck_base,neck_base,neck_base,body_anterior,body_anterior,body_anterior,body_posterior,body_posterior,body_posterior,tail_base,tail_base,tail_base,tail_anterior,tail_anterior,tail_anterior,tail_posterior,tail_posterior,tail_posterior,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,948.353,411.79095,1.0,970.3643,413.57657,1.0,953.7412,399.3706,0.93887925,969.2154,485.13864,0.96786374,1019.22186,454.8562,1.0,990.1831,421.8555,0.61500764,1008.51105,435.21127,0.9261513,1029.4064,415.47577,1.0,1058.2205,397.445,1.0,1064.4746,380.42905,0.30568555,1069.9635,340.78992,0.89085853,1070.7018,286.862,0.8834444,1075.6273,226.58748,0.9343491
1,952.8918,459.4068,1.0,974.8668,447.5522,1.0,950.49255,440.64618,1.0,999.9678,494.90723,0.730654,1031.8489,449.57993,0.9702126,992.7858,430.4571,0.75351965,1017.2785,431.6062,1.0,1035.3286,406.61707,0.9757624,1063.0228,388.0173,1.0,1062.0646,370.1034,0.10599816,1066.5343,338.2831,0.9209857,1063.38,288.22226,0.83189756,1070.8964,226.90671,0.8895769
2,990.98016,484.3136,1.0,1009.7905,468.53912,1.0,982.2111,466.7851,1.0,1027.0256,497.65573,0.9707455,1046.6421,443.33493,1.0,1004.84424,438.3,0.9049567,1026.6167,432.37875,0.9695037,1038.6582,406.41162,0.97446054,1059.5564,381.34555,0.96467,1060.2468,366.71185,0.15983605,1064.9523,333.93668,0.9312378,1058.1576,283.7364,0.8582681,1071.084,227.00002,0.9070605
3,1021.97577,505.44168,1.0,1036.4974,484.88745,1.0,1007.4196,487.15576,1.0,1050.788,484.20947,0.035483975,1056.4801,441.91605,1.0,1014.5228,442.2407,0.93060017,1036.3789,432.91913,1.0,1042.2498,405.03568,0.98235565,1057.3475,379.879,0.9617502,1060.9868,364.32907,0.21703504,1061.0281,329.36722,0.8848195,1051.2808,278.4201,0.8310515,1067.4221,228.23618,0.97676325
4,1029.1483,511.98083,1.0,1042.6521,491.35687,1.0,1014.54425,494.50943,0.95751286,1080.9095,516.9778,0.043318335,1060.0629,441.9472,1.0,1017.28644,442.92984,0.91591805,1038.5275,433.6002,1.0,1043.2493,404.10062,0.96117157,1055.2472,377.54562,0.8591742,1052.9094,360.46405,0.19748014,1058.4146,327.93073,0.83817726,1052.3239,279.16852,0.7938317,1060.858,229.49918,0.98432
5,1024.0367,509.48416,1.0,1040.6616,489.37988,1.0,1011.17926,491.7278,1.0,1081.5012,520.8098,0.020476267,1060.4043,441.51965,1.0,1018.7078,443.13123,0.93617487,1039.2097,433.56885,0.9925876,1043.3945,403.35727,0.9757364,1055.4388,376.9608,0.8623477,1062.8893,361.99332,0.17441766,1057.7516,327.48416,0.84209675,1050.879,279.12592,0.78948545,1059.6516,230.66168,0.9554798
6,1030.536,513.73486,1.0,1044.0612,494.0482,1.0,1016.18317,495.4913,0.9959365,1080.5645,519.4263,0.047265466,1061.0629,442.7409,1.0,1019.106,443.54016,0.928475,1040.2771,433.72055,0.9609048,1043.7798,403.4511,0.9779893,1055.6588,377.26395,0.8599528,1062.6777,363.12943,0.20277943,1056.6127,329.51035,0.81652796,1045.5323,280.37787,0.7391022,1058.1311,232.37558,0.9149372
7,1028.4702,501.6976,1.0,1041.7017,482.04282,1.0,1014.20624,484.85574,1.0,1072.8256,504.1258,0.06386385,1059.627,440.66815,1.0,1019.02875,445.34418,0.9390107,1038.1339,433.69888,1.0,1040.2854,404.38983,0.98857117,1054.6462,378.01074,0.91303486,1064.1482,362.31772,0.47997996,1055.7208,327.05994,0.86370856,1045.3782,280.53702,0.7504249,1057.7473,232.87521,0.94022554
