scorer,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290
bodyparts,cable_tip,cable_tip,cable_tip,box_left_back_corner,box_left_back_corner,box_left_back_corner,box_right_back_corner,box_right_back_corner,box_right_back_corner,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,neck_base,neck_base,neck_base,body_anterior,body_anterior,body_anterior,body_posterior,body_posterior,body_posterior,tail_base,tail_base,tail_base,tail_anterior,tail_anterior,tail_anterior,tail_posterior,tail_posterior,tail_posterior,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,807.5404,445.55173,0.98778677,827.4228,451.58002,0.978176,809.8561,434.90414,0.9967836,795.7235,516.5827,0.95704573,849.50885,489.57382,1.0,809.04865,480.34763,0.102247946,835.7525,478.73087,0.5345296,848.7513,460.10873,0.94218,860.39886,429.75912,1.0,858.62885,414.99548,0.35931116,856.29694,380.38947,0.8889615,854.4284,331.2811,0.895408,855.9389,274.246,0.82646835
1,808.33496,493.0861,0.9753496,831.5753,483.5055,1.0,808.63995,472.85385,1.0,818.0262,528.6843,0.7717496,858.9444,484.3811,1.0,820.6889,465.17636,0.80261356,844.81366,467.34344,0.7699297,853.8742,449.17896,0.95646286,860.8659,425.49496,0.8904679,856.83527,409.4505,0.7191551,850.5952,370.96338,0.93047017,844.88684,327.4789,0.9327188,849.58453,278.3334,0.76487225
2,847.20764,517.9728,1.0,863.7685,500.5602,1.0,834.87317,500.26733,0.9948709,803.28,494.58887,0.123254985,870.91437,478.3999,0.95568764,830.6882,472.24142,0.84444827,852.213,468.49612,0.8163911,856.49,448.30667,0.86409557,859.30084,425.2306,0.8438527,855.404,405.39075,0.8998696,848.16077,366.93338,0.89910936,840.08417,322.16632,0.8373254,851.08307,276.71292,0.92750144
3,873.8724,536.68365,1.0,884.1474,518.10754,1.0,856.4312,519.03455,1.0,845.5528,512.0708,0.065546244,880.66406,477.0124,1.0,839.6265,476.17886,1.0,861.20245,468.6623,0.9380229,860.87646,445.21988,0.94944715,857.5305,423.05838,0.9848989,851.6778,402.94473,0.90194017,842.8189,366.7395,0.9353909,832.53235,323.86435,0.86303955,847.45996,277.5726,0.88917345
4,876.9049,542.06036,1.0,888.0337,522.1214,1.0,860.1109,526.3507,1.0,840.52075,502.12305,0.099366836,882.32983,477.5016,1.0,841.8394,478.0523,0.9497974,861.34924,470.0228,1.0,860.5581,444.86353,0.94380885,857.03156,421.6848,0.9584371,849.6951,401.84274,0.8925681,837.758,366.91052,0.92662066,826.4072,324.0524,0.8757764,841.36884,278.48654,0.93687683
5,875.29175,539.2952,1.0,886.28827,520.3325,1.0,857.7704,522.00885,0.9659757,840.569,502.37827,0.08394514,881.8324,477.1541,1.0,841.9349,477.29318,0.9946561,861.607,469.38535,1.0,860.85016,444.53284,0.9412525,857.30304,421.225,0.95489424,850.7567,401.1424,0.9411482,837.2199,365.39935,0.94596416,825.0371,323.29932,0.8472388,840.68506,278.8654,0.93670124
6,875.9735,543.947,1.0,888.4725,524.1969,1.0,860.5894,526.97375,1.0,840.16187,503.0262,0.09587645,882.11914,478.30072,1.0,842.5614,477.95016,0.9813158,862.352,470.10938,1.0,861.2143,444.60907,0.9557676,856.4154,420.6054,0.9624745,850.5517,401.43454,0.8482104,836.178,366.41736,0.9244513,822.71814,324.21652,0.8923599,839.4483,280.19104,0.94932276
7,876.1109,532.9089,1.0,886.8728,514.36847,1.0,859.4827,516.9533,1.0,842.7695,509.2117,0.15954717,880.84424,476.44986,1.0,841.06396,479.47162,0.91608936,859.50146,469.67438,0.97706866,856.541,446.0941,0.95441306,854.1566,420.27075,0.96088886,849.9034,400.10638,0.96622545,834.21375,365.01526,0.9087971,821.1788,323.40515,0.8889508,838.32715,280.90686,0.9295192
